data_format,access,associated_entities/0/entity_submitter_id,associated_entities/0/entity_type,associated_entities/0/case_id,associated_entities/0/entity_id,file_name,submitter_id,data_category,analysis/workflow_version,analysis/input_files/0/data_format,analysis/input_files/0/proportion_reads_mapped,analysis/input_files/0/total_reads,analysis/input_files/0/access,analysis/input_files/0/file_name,analysis/input_files/0/wgs_coverage,analysis/input_files/0/proportion_base_mismatch,analysis/input_files/0/proportion_reads_duplicated,analysis/input_files/0/submitter_id,analysis/input_files/0/data_category,analysis/input_files/0/platform,analysis/input_files/0/file_size,analysis/input_files/0/created_datetime,analysis/input_files/0/average_base_quality,analysis/input_files/0/md5sum,analysis/input_files/0/updated_datetime,analysis/input_files/0/file_id,analysis/input_files/0/pairs_on_diff_chr,analysis/input_files/0/data_type,analysis/input_files/0/average_insert_size,analysis/input_files/0/average_read_length,analysis/input_files/0/state,analysis/input_files/0/experimental_strategy,analysis/updated_datetime,analysis/workflow_link,analysis/submitter_id,analysis/state,analysis/workflow_type,analysis/analysis_id,analysis/created_datetime,platform,file_size,md5sum,file_id,data_type,state,experimental_strategy,annotations/0/annotation_id,annotations/0/entity_submitter_id,annotations/0/notes,annotations/0/entity_type,annotations/0/updated_datetime,annotations/0/submitter_id,annotations/0/state,annotations/0/category,annotations/0/classification,annotations/0/entity_id,annotations/0/created_datetime,annotations/0/status,annotations/0/case_id,annotations/0/case_submitter_id,annotations/1/entity_submitter_id,annotations/1/notes,annotations/1/submitter_id,annotations/1/classification,annotations/1/entity_id,annotations/1/created_datetime,annotations/1/annotation_id,annotations/1/entity_type,annotations/1/updated_datetime,annotations/1/case_id,annotations/1/state,annotations/1/category,annotations/1/status,annotations/1/case_submitter_id
TSV,open,TCGA-KK-A7AU-01A-11R-A32O-07,aliquot,39303e7c-5baf-479d-a112-d8f03a18c621,eb344d08-f396-47b1-b832-dc0eb5d4abfb,9b40159c-36fb-460b-b944-6eb2fe8a39a7.rna_seq.augmented_star_gene_counts.tsv,81a3b6b4-9171-4178-8f20-5476bd0eb258,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9872123771581891,140262504,controlled,9b40159c-36fb-460b-b944-6eb2fe8a39a7.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.003418338,0,627c2043-8b75-4682-9fa3-1efe26f27635,Sequencing Reads,Illumina,7955118059,2021-12-13T19:59:14.862594-06:00,36,dc6e047f438b7671d8dfa4af5f71b328,2023-07-12T10:45:48.873121-05:00,74d92e29-13fd-4563-ac09-70fbb37543f8,291318,Aligned Reads,1094,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,9b40159c-36fb-460b-b944-6eb2fe8a39a7_star__counts,released,STAR - Counts,c9423c86-22ed-460d-beb3-cb3c4ba78b93,2021-12-13T21:26:48.590152-06:00,Illumina,4240858,a3d69c97fb0d72b9f201b7a58d30644d,498a4e5b-49dc-4340-87fc-0d0aad92db4b,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-VN-A88M-01A-11R-A352-07,aliquot,35243518-b086-4d76-a336-8c61a14f9ded,aa86654d-003d-4190-b2bc-f4b40f77474f,77599d7a-d21b-40c9-94cf-7000b521db1a.rna_seq.augmented_star_gene_counts.tsv,b915ff2f-cfbd-4cd3-ad5e-e8d31a41827c,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9188076849421207,125490288,controlled,77599d7a-d21b-40c9-94cf-7000b521db1a.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.002752096,0,c2378259-b1b1-4d54-9832-0e2a3ed29e0e,Sequencing Reads,Illumina,6612815519,2021-12-13T19:55:05.488725-06:00,36,5f315e8a7ee378e1e3e6ef33e8bf25ea,2023-07-12T10:45:48.873121-05:00,5d7ac31e-67e5-45f0-8c56-96bcbf3853c1,191335,Aligned Reads,787,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,77599d7a-d21b-40c9-94cf-7000b521db1a_star__counts,released,STAR - Counts,5830ae49-0dc2-4aac-9b87-d0cff124734b,2021-12-13T21:31:49.774609-06:00,Illumina,4227039,aff69906a1f85f353f8b21e0b3d29ae5,3a00605d-16cc-4bbe-b0e7-645b9db7e9ca,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-KC-A4BR-01A-32R-A32Y-07,aliquot,3e71fa1c-855c-475a-9dd0-a314a3ecd48d,47c88c6e-4f26-46bc-8198-06c211f64e00,6606bb36-b6fa-43a5-ba78-0ad163047db7.rna_seq.augmented_star_gene_counts.tsv,9810c3af-3f7d-4115-a2da-696596cff053,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.973702503767465,128586462,controlled,6606bb36-b6fa-43a5-ba78-0ad163047db7.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.00368949,0,6b2225e6-5941-4b3b-b3d6-b391600144c5,Sequencing Reads,Illumina,7718090994,2021-12-13T19:53:29.094888-06:00,36,c1c533705504b3e42c312e38d68cd21b,2023-07-12T10:45:48.873121-05:00,dade2787-509f-438f-88d5-6d85b13ff69b,177961,Aligned Reads,1018,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,6606bb36-b6fa-43a5-ba78-0ad163047db7_star__counts,released,STAR - Counts,4f0ab14a-698b-4a7f-a545-fe582fae484e,2021-12-13T21:27:16.203169-06:00,Illumina,4240973,c78eadb95befd352c9f65a4862824fb7,816af635-c0f2-474c-a97a-4f75845137f0,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-KC-A7FA-01A-21R-A33R-07,aliquot,3f3128c9-1072-443c-b6ae-8b63166fa9a4,81ee8dcb-89dd-462e-b5de-2394bc6d522b,1a861cd2-321b-431d-838c-18d0b17b2193.rna_seq.augmented_star_gene_counts.tsv,3d77ad18-85af-40fa-994e-4dee98fda579,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9471753707510495,135558888,controlled,1a861cd2-321b-431d-838c-18d0b17b2193.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.00312192,0,ce583baf-9ac0-49f8-ad98-5fbd52548f58,Sequencing Reads,Illumina,7702627251,2021-12-13T19:45:12.615067-06:00,36,dd4972a80e2549ea3f47b2a9a8b33cc4,2023-07-12T10:45:48.873121-05:00,b5855969-c257-4797-9cbc-b5b91de37c32,209843,Aligned Reads,888,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,1a861cd2-321b-431d-838c-18d0b17b2193_star__counts,released,STAR - Counts,a8bf3e05-9fe1-49e9-af67-5311dcc88061,2021-12-13T21:32:38.338989-06:00,Illumina,4235818,d09b8e37757c0e54848034d9f4cbe4dc,c249c992-d43c-41bd-9dd5-1f74556ed09a,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-HC-A6HY-01A-11R-A31N-07,aliquot,3d6abc44-d094-4250-8dfc-347ae9c741f2,027f330a-6206-4fd4-8790-8bb5e0207bc1,23c50b39-0b88-4ad3-800b-8d388edb76b6.rna_seq.augmented_star_gene_counts.tsv,03e5034c-ec77-4ef1-8a30-cf6ed5b98b29,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9856881500627114,119624228,controlled,23c50b39-0b88-4ad3-800b-8d388edb76b6.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.002456877,0,19b48757-fc2a-41ac-8e7e-e91ead00a28b,Sequencing Reads,Illumina,6202453472,2021-12-13T19:46:15.198861-06:00,37,01a6ae0d1fa8768bccf9254fc5721f5e,2023-07-12T10:45:48.873121-05:00,55178eac-2162-4be9-8739-c0c6304327db,262440,Aligned Reads,1176,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,23c50b39-0b88-4ad3-800b-8d388edb76b6_star__counts,released,STAR - Counts,978bdfde-71dd-4b04-96f0-abc6c4863dd2,2021-12-13T21:23:01.376420-06:00,Illumina,4233143,f94f43f9a75cc740d943287c4e6fa387,9f116f99-c2f6-4c02-a28e-9871d693fe55,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-QU-A6IN-01A-11R-A31N-07,aliquot,d07d20f4-dd65-4ffc-add4-01f350ca7b65,3447e7c9-5d79-4cc0-9e00-6c8552565597,307080fa-3757-4ac4-bab7-b7ef827c8f88.rna_seq.augmented_star_gene_counts.tsv,86dac4bd-2be9-43a5-8886-1931e9a0965a,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9456635997252785,134961388,controlled,307080fa-3757-4ac4-bab7-b7ef827c8f88.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.002278953,0,87d3b7d9-6a86-4ec0-b6c0-ec098d28bf2f,Sequencing Reads,Illumina,6797017901,2021-12-13T19:47:45.380994-06:00,37,78781e93dfbd8bca38789d89139c3ef2,2023-07-12T10:45:48.873121-05:00,2de45bfb-d4e3-4f79-9118-d73781ba6136,159073,Aligned Reads,920,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,307080fa-3757-4ac4-bab7-b7ef827c8f88_star__counts,released,STAR - Counts,57e90263-087f-4956-bf23-0314974185e7,2021-12-13T21:28:39.814879-06:00,Illumina,4228922,10e4b01611e1b021d56e8431950bf519,faafe8dc-3972-43ae-8bbb-19510b75965e,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-KK-A6E0-01A-11R-A311-07,aliquot,d112136d-34fa-426e-b432-4d1e4286adf8,12c2e11c-8ba3-4cce-8c28-c005edc4e4cc,83bc1608-615c-40f0-9ff2-071bcb5eeae5.rna_seq.augmented_star_gene_counts.tsv,1a3f351b-4ec4-4b9c-8ae5-a4a82d600b5b,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.987680674906202,120966854,controlled,83bc1608-615c-40f0-9ff2-071bcb5eeae5.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.003089573,0,e4dd3199-ed10-414a-8c6e-295ce40adea7,Sequencing Reads,Illumina,6785478792,2021-12-13T19:56:52.417724-06:00,36,25eabde0a426492a3f8a0d15ee874ad2,2023-07-12T10:45:48.873121-05:00,bca0f83e-a503-4e98-a62b-f2d65f388ffe,405121,Aligned Reads,1379,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,83bc1608-615c-40f0-9ff2-071bcb5eeae5_star__counts,released,STAR - Counts,03709a12-005a-4a22-8374-dccc493d50c1,2021-12-13T21:34:04.375813-06:00,Illumina,4237871,076011abd3f27c21ccf6faf9a4ffabd6,82c45d9c-18ec-4b4c-bdd6-c1b4b92e92b7,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-XK-AAJA-01A-11R-A41O-07,aliquot,d17b1955-0565-46c1-a5a7-ecd41ac0286a,ec7657a0-88da-482a-90d1-1fd03578e11b,b2974e70-ca9b-4559-aa1d-cd342a529497.rna_seq.augmented_star_gene_counts.tsv,323395c4-0f06-44ab-a08e-4a8f34985633,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9531035921085438,197624262,controlled,b2974e70-ca9b-4559-aa1d-cd342a529497.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.002700389,0,06cece1b-15f0-4cac-8cf6-fcb67fa362ed,Sequencing Reads,Illumina,10019878341,2021-12-13T20:01:54.050601-06:00,37,b15513993003c49a125979d2315727e8,2023-07-12T10:45:48.873121-05:00,7bf1af29-d7a7-4026-880b-f99bda958fd6,376299,Aligned Reads,802,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,b2974e70-ca9b-4559-aa1d-cd342a529497_star__counts,released,STAR - Counts,29e6c964-a889-4d21-8b72-cd2486c60c63,2021-12-13T21:21:52.753147-06:00,Illumina,4256695,c6410830a2002d790dc0d8ee885e097f,a6f17737-59a3-468b-b6f2-207ff3a0fe5b,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-EJ-5504-01A-01R-1580-07,aliquot,e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4,70779173-6a72-45e4-bf43-91ee9baba55f,ca8de3ae-b88e-455b-88a7-8965e9bb1db7.rna_seq.augmented_star_gene_counts.tsv,73034b9d-2672-4f42-abea-6d277891a901,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9722180995265743,123274252,controlled,ca8de3ae-b88e-455b-88a7-8965e9bb1db7.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.003688769,0,c628fca1-6db3-46f1-9017-fe281cf46b80,Sequencing Reads,Illumina,6136098539,2021-12-13T20:04:50.344334-06:00,37,48f3084d0e388beadcbdfdeffea58aff,2023-07-12T10:45:48.873121-05:00,f70b244e-3602-4dca-ab2c-7224e97e6283,266279,Aligned Reads,1187,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,ca8de3ae-b88e-455b-88a7-8965e9bb1db7_star__counts,released,STAR - Counts,876ccddd-f49d-47d9-aac0-68a1760f042d,2021-12-13T21:32:03.148293-06:00,Illumina,4236577,e4aacebdb6c92db36da47f61e88f8dce,79958b9d-8660-45b6-a9e9-3b7d7c3bc8bc,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSV,open,TCGA-M7-A723-01A-12R-A32O-07,aliquot,e27bc39b-54f1-47b5-ac8f-3245dce690f4,d139f13a-72aa-4bd8-bee2-c60c6bb016f2,03398018-84f0-4d18-80b2-bcec909f08a9.rna_seq.augmented_star_gene_counts.tsv,78e5ed77-d4c4-448d-bb5c-1905c66dd686,Transcriptome Profiling,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,BAM,0.9720375992841578,113383648,controlled,03398018-84f0-4d18-80b2-bcec909f08a9.rna_seq.genomic.gdc_realn.bam,Not Applicable,0.003521777,0,6b3d7c1f-240b-4fe6-b0fa-ba46a73925cc,Sequencing Reads,Illumina,7205833006,2021-12-13T19:42:56.883708-06:00,35,7af6f3ae61dc6fba83fc7dbb441ecd2b,2023-07-12T10:45:48.873121-05:00,1252add2-cd29-4051-9150-1ef125064ebb,136570,Aligned Reads,835,48,released,RNA-Seq,2022-01-19T14:17:14.642785-06:00,https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl,03398018-84f0-4d18-80b2-bcec909f08a9_star__counts,released,STAR - Counts,647e3bb5-6b51-4668-8cd2-015d60192279,2021-12-13T21:27:17.634923-06:00,Illumina,4228505,1026dd1d327c16b4ff446c00d39ce1df,b18cf1f7-9708-4074-b3c4-37fecc73ea0d,Gene Expression Quantification,released,RNA-Seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
